alert_type,trader_id,symbol,cancel_count,total_orders,cancel_rate,match_count,trader_id_1,trader_id_2,window_start,window_end,detected_at
SPOOFING,spoofer_002,TSLA,28,33,0.8484848484848485,,,,2026-04-14 20:47:30,2026-04-14 20:49:30,2026-04-14 20:49:52
SPOOFING,spoofer_003,BINANCE:BTCUSDT,31,36,0.8611111111111112,,,,2026-04-14 20:47:30,2026-04-14 20:49:30,2026-04-14 20:49:52
SPOOFING,spoofer_002,TSLA,49,58,0.8448275862068966,,,,2026-04-14 20:47:00,2026-04-14 20:49:00,2026-04-14 20:49:10
SPOOFING,spoofer_003,BINANCE:BTCUSDT,33,39,0.8461538461538461,,,,2026-04-14 20:47:00,2026-04-14 20:49:00,2026-04-14 20:49:10
SPOOFING,spoofer_002,TSLA,36,43,0.8372093023255814,,,,2026-04-14 20:46:30,2026-04-14 20:48:30,2026-04-14 20:48:45
SPOOFING,spoofer_001,AAPL,21,25,0.84,,,,2026-04-14 20:46:30,2026-04-14 20:48:30,2026-04-14 20:48:45
SPOOFING,spoofer_003,BINANCE:BTCUSDT,31,38,0.8157894736842105,,,,2026-04-14 20:46:30,2026-04-14 20:48:30,2026-04-14 20:48:45
SPOOFING,spoofer_002,TSLA,29,35,0.8285714285714286,,,,2026-04-14 20:46:00,2026-04-14 20:48:00,2026-04-14 20:48:45
SPOOFING,spoofer_003,BINANCE:BTCUSDT,42,51,0.8235294117647058,,,,2026-04-14 20:46:00,2026-04-14 20:48:00,2026-04-14 20:48:45
SPOOFING,spoofer_001,AAPL,25,30,0.8333333333333334,,,,2026-04-14 20:46:00,2026-04-14 20:48:00,2026-04-14 20:48:45
SPOOFING,spoofer_003,BINANCE:BTCUSDT,36,44,0.8181818181818182,,,,2026-04-14 20:45:30,2026-04-14 20:47:30,2026-04-14 20:47:56
SPOOFING,spoofer_002,TSLA,24,29,0.8275862068965517,,,,2026-04-14 20:45:30,2026-04-14 20:47:30,2026-04-14 20:47:56
SPOOFING,spoofer_001,AAPL,25,30,0.8333333333333334,,,,2026-04-14 20:45:30,2026-04-14 20:47:30,2026-04-14 20:47:56
SPOOFING,spoofer_001,AAPL,20,24,0.8333333333333334,,,,2026-04-14 20:45:00,2026-04-14 20:47:00,2026-04-14 20:47:15
SPOOFING,spoofer_003,BINANCE:BTCUSDT,28,34,0.8235294117647058,,,,2026-04-14 20:45:00,2026-04-14 20:47:00,2026-04-14 20:47:15
SPOOFING,spoofer_003,BINANCE:BTCUSDT,17,20,0.85,,,,2026-04-14 20:44:30,2026-04-14 20:46:30,2026-04-14 20:47:15
SPOOFING,spoofer_001,AAPL,22,27,0.8148148148148148,,,,2026-04-14 20:44:00,2026-04-14 20:46:00,2026-04-14 20:46:20
SPOOFING,spoofer_001,AAPL,22,27,0.8148148148148148,,,,2026-04-14 20:43:30,2026-04-14 20:45:30,2026-04-14 20:46:20
SPOOFING,spoofer_003,BINANCE:BTCUSDT,13,16,0.8125,,,,2026-04-14 20:43:00,2026-04-14 20:45:00,2026-04-14 20:46:20
SPOOFING,spoofer_001,AAPL,22,27,0.8148148148148148,,,,2026-04-14 20:43:00,2026-04-14 20:45:00,2026-04-14 20:46:20
SPOOFING,spoofer_002,TSLA,20,23,0.8695652173913043,,,,2026-04-14 20:43:00,2026-04-14 20:45:00,2026-04-14 20:46:20
SPOOFING,spoofer_002,TSLA,15,17,0.8823529411764706,,,,2026-04-14 20:42:30,2026-04-14 20:44:30,2026-04-14 20:44:40
SPOOFING,spoofer_001,AAPL,14,17,0.8235294117647058,,,,2026-04-14 20:42:30,2026-04-14 20:44:30,2026-04-14 20:44:40
SPOOFING,spoofer_003,BINANCE:BTCUSDT,13,16,0.8125,,,,2026-04-14 20:42:00,2026-04-14 20:44:00,2026-04-14 20:44:33
SPOOFING,spoofer_002,TSLA,15,17,0.8823529411764706,,,,2026-04-14 20:42:00,2026-04-14 20:44:00,2026-04-14 20:44:33
SPOOFING,spoofer_002,TSLA,15,17,0.8823529411764706,,,,2026-04-14 20:41:30,2026-04-14 20:43:30,2026-04-14 20:44:33
SPOOFING,spoofer_003,BINANCE:BTCUSDT,19,23,0.8260869565217391,,,,2026-04-14 20:41:30,2026-04-14 20:43:30,2026-04-14 20:44:33
SPOOFING,spoofer_003,BINANCE:BTCUSDT,12,14,0.8571428571428571,,,,2026-04-14 20:41:00,2026-04-14 20:43:00,2026-04-14 20:43:07
SPOOFING,spoofer_003,BINANCE:BTCUSDT,16,19,0.8421052631578947,,,,2026-04-14 20:40:30,2026-04-14 20:42:30,2026-04-14 20:43:07
SPOOFING,spoofer_002,TSLA,28,33,0.8484848484848485,,,,2026-04-14 20:37:00,2026-04-14 20:39:00,2026-04-14 20:39:17
SPOOFING,spoofer_002,TSLA,28,33,0.8484848484848485,,,,2026-04-14 20:36:30,2026-04-14 20:38:30,2026-04-14 20:39:17
SPOOFING,spoofer_002,TSLA,28,33,0.8484848484848485,,,,2026-04-14 20:36:00,2026-04-14 20:38:00,2026-04-14 20:39:17
SPOOFING,spoofer_002,TSLA,28,33,0.8484848484848485,,,,2026-04-14 20:35:30,2026-04-14 20:37:30,2026-04-14 20:39:17
SPOOFING,spoofer_003,BINANCE:BTCUSDT,23,28,0.8214285714285714,,,,2026-04-14 20:33:00,2026-04-14 20:35:00,2026-04-14 20:35:14
SPOOFING,spoofer_003,BINANCE:BTCUSDT,44,53,0.8301886792452831,,,,2026-04-14 20:32:30,2026-04-14 20:34:30,2026-04-14 20:35:01
SPOOFING,spoofer_001,AAPL,19,23,0.8260869565217391,,,,2026-04-14 20:32:30,2026-04-14 20:34:30,2026-04-14 20:35:01
SPOOFING,spoofer_001,AAPL,19,23,0.8260869565217391,,,,2026-04-14 20:32:00,2026-04-14 20:34:00,2026-04-14 20:35:01
SPOOFING,spoofer_003,BINANCE:BTCUSDT,44,53,0.8301886792452831,,,,2026-04-14 20:32:00,2026-04-14 20:34:00,2026-04-14 20:35:01
SPOOFING,spoofer_002,TSLA,39,48,0.8125,,,,2026-04-14 20:32:00,2026-04-14 20:34:00,2026-04-14 20:35:01
SPOOFING,spoofer_001,AAPL,19,23,0.8260869565217391,,,,2026-04-14 20:31:30,2026-04-14 20:33:30,2026-04-14 20:35:01
SPOOFING,spoofer_003,BINANCE:BTCUSDT,44,53,0.8301886792452831,,,,2026-04-14 20:31:30,2026-04-14 20:33:30,2026-04-14 20:35:01
SPOOFING,spoofer_002,TSLA,39,48,0.8125,,,,2026-04-14 20:31:30,2026-04-14 20:33:30,2026-04-14 20:35:01
SPOOFING,spoofer_003,BINANCE:BTCUSDT,21,25,0.84,,,,2026-04-14 20:31:00,2026-04-14 20:33:00,2026-04-14 20:33:17
SPOOFING,spoofer_001,AAPL,15,18,0.8333333333333334,,,,2026-04-14 20:31:00,2026-04-14 20:33:00,2026-04-14 20:33:17
SPOOFING,spoofer_002,TSLA,22,26,0.8461538461538461,,,,2026-04-14 20:31:00,2026-04-14 20:33:00,2026-04-14 20:33:17
